timestamp_utc,bid,ask,spread_usd_oz,spread_pips,market_open
2026-07-15 03:16:29,4034.69,4034.79,0.100,10.0,1
2026-07-15 03:16:34,4034.80,4034.87,0.070,7.0,1
2026-07-15 03:16:39,4034.73,4034.84,0.110,11.0,1
2026-07-15 03:16:44,4035.04,4035.15,0.110,11.0,1
2026-07-15 03:16:49,4035.26,4035.35,0.090,9.0,1
2026-07-15 03:16:54,4035.03,4035.15,0.120,12.0,1
2026-07-15 03:16:59,4035.13,4035.22,0.090,9.0,1
2026-07-15 03:17:04,4034.74,4034.84,0.100,10.0,1
2026-07-15 03:17:09,4034.74,4034.81,0.070,7.0,1
2026-07-15 03:17:14,4034.52,4034.58,0.060,6.0,1
2026-07-15 03:17:19,4034.27,4034.39,0.120,12.0,1
2026-07-15 03:17:24,4034.40,4034.52,0.120,12.0,1
2026-07-15 03:17:29,4034.11,4034.23,0.120,12.0,1
2026-07-15 03:17:34,4034.21,4034.30,0.090,9.0,1
2026-07-15 03:17:39,4034.00,4034.06,0.060,6.0,1
2026-07-15 03:17:44,4033.84,4033.89,0.050,5.0,1
2026-07-15 03:17:49,4033.76,4033.81,0.050,5.0,1
2026-07-15 03:17:54,4033.68,4033.75,0.070,7.0,1
2026-07-15 03:17:59,4033.75,4033.80,0.050,5.0,1
2026-07-15 03:18:04,4033.86,4033.92,0.060,6.0,1
2026-07-15 03:18:09,4033.44,4033.49,0.050,5.0,1
2026-07-15 03:18:14,4033.24,4033.33,0.090,9.0,1
2026-07-15 03:18:19,4033.82,4033.94,0.120,12.0,1
2026-07-15 03:18:24,4034.12,4034.24,0.120,12.0,1
2026-07-15 03:18:29,4034.10,4034.20,0.100,10.0,1
2026-07-15 03:18:34,4033.01,4033.13,0.120,12.0,1
2026-07-15 03:18:39,4032.72,4032.84,0.120,12.0,1
2026-07-15 03:18:44,4032.88,4033.00,0.120,12.0,1
2026-07-15 03:18:49,4032.55,4032.63,0.080,8.0,1
2026-07-15 03:18:54,4032.58,4032.69,0.110,11.0,1
2026-07-15 03:18:59,4032.85,4032.91,0.060,6.0,1
2026-07-15 03:19:04,4033.06,4033.11,0.050,5.0,1
2026-07-15 03:19:09,4033.17,4033.28,0.110,11.0,1
2026-07-15 03:19:14,4032.84,4032.89,0.050,5.0,1
2026-07-15 03:19:19,4032.71,4032.83,0.120,12.0,1
2026-07-15 03:19:24,4031.93,4032.05,0.120,12.0,1
2026-07-15 03:19:29,4032.46,4032.58,0.120,12.0,1
2026-07-15 03:19:34,4032.70,4032.78,0.080,8.0,1
2026-07-15 03:19:39,4032.71,4032.83,0.120,12.0,1
2026-07-15 03:19:44,4032.70,4032.82,0.120,12.0,1
2026-07-15 03:19:49,4032.43,4032.54,0.110,11.0,1
2026-07-15 03:19:54,4032.29,4032.37,0.080,8.0,1
2026-07-15 03:19:59,4032.47,4032.59,0.120,12.0,1
2026-07-15 03:20:04,4032.55,4032.67,0.120,12.0,1
2026-07-15 03:20:09,4032.29,4032.39,0.100,10.0,1
2026-07-15 03:20:14,4032.82,4032.87,0.050,5.0,1
2026-07-15 03:20:19,4032.91,4032.96,0.050,5.0,1
2026-07-15 03:20:24,4032.89,4032.97,0.080,8.0,1
2026-07-15 03:20:29,4033.16,4033.21,0.050,5.0,1
2026-07-15 03:20:34,4033.03,4033.08,0.050,5.0,1
2026-07-15 03:20:39,4032.67,4032.72,0.050,5.0,1
2026-07-15 03:20:44,4032.56,4032.61,0.050,5.0,1
2026-07-15 03:20:49,4032.12,4032.24,0.120,12.0,1
2026-07-15 03:20:54,4032.33,4032.45,0.120,12.0,1
2026-07-15 03:20:59,4031.88,4032.00,0.120,12.0,1
2026-07-15 03:21:04,4031.23,4031.35,0.120,12.0,1
2026-07-15 03:21:09,4031.13,4031.25,0.120,12.0,1
2026-07-15 03:21:14,4031.43,4031.55,0.120,12.0,1
2026-07-15 03:21:19,4031.81,4031.92,0.110,11.0,1
2026-07-15 03:21:24,4031.92,4031.97,0.050,5.0,1
2026-07-15 03:21:29,4031.91,4031.96,0.050,5.0,1
2026-07-15 03:21:34,4030.85,4030.97,0.120,12.0,1
2026-07-15 03:21:39,4031.22,4031.34,0.120,12.0,1
2026-07-15 03:21:44,4031.75,4031.85,0.100,10.0,1
2026-07-15 03:21:49,4031.61,4031.68,0.070,7.0,1
2026-07-15 03:21:54,4031.98,4032.10,0.120,12.0,1
2026-07-15 03:21:59,4032.05,4032.17,0.120,12.0,1
2026-07-15 03:22:04,4032.34,4032.39,0.050,5.0,1
